OG0002185: 2L52.1a HCON_00053970-00001
OG0002186: 2RSSE.1b HCON_00060830-00002
OG0002187: 4R79.1a HCON_00097560-00001
OG0002188: 4R79.2a HCON_00123550-00001
OG0002189: AC3.10 HCON_00147210-00002
OG0002191: AC3.5a HCON_00134090-00001
OG0002192: AC7.1a HCON_00104590-00001
OG0002196: B0001.1a HCON_00104900-00001
OG0002199: B0024.10 HCON_00132480-00001
OG0002200: B0024.11 HCON_00118485-00001
OG0002201: B0024.13 HCON_00160810-00001
OG0002202: B0024.14b HCON_00162110-00001
OG0002203: B0024.8a HCON_00132060-00001
OG0002204: B0024.9a HCON_00138260-00001
OG0002205: B0025.1a HCON_00008130-00001
OG0002206: B0025.2 HCON_00008140-00001
OG0002207: B0034.1 HCON_00058080-00001
OG0002208: B0034.3a HCON_00036980-00001
OG0002209: B0034.5 HCON_00051610-00001
OG0002210: B0035.11 HCON_00112850-00001
OG0002211: B0035.12 HCON_00110320-00001
OG0002212: B0035.15 HCON_00099170-00001
OG0002213: B0035.16 HCON_00099180-00001
OG0002214: B0035.1b HCON_00105170-00001
OG0002215: B0035.3 HCON_00137170-00001
OG0002216: B0035.4 HCON_00130100-00001
OG0002217: B0035.5 HCON_00130110-00001
OG0002219: B0041.3 HCON_00028810-00001
OG0002220: B0041.4 HCON_00028800-00001
OG0002221: B0041.5a HCON_00001120-00001
OG0002222: B0041.6a HCON_00032830-00001
OG0002223: B0041.7 HCON_00027200-00001
OG0002225: B0205.11 HCON_00020890-00001
OG0002226: B0205.12 HCON_00020875-00001
OG0002228: B0205.3 HCON_00020880-00001
OG0002229: B0205.4 HCON_00005220-00001
OG0002230: B0205.6 HCON_00020910-00001
OG0002231: B0205.7 HCON_00020900-00001
OG0002232: B0205.8 HCON_00020870-00001
OG0002233: B0207.12b HCON_00020000-00002
OG0002234: B0207.2 HCON_00023520-00001
OG0002235: B0207.6 HCON_00150980-00001
OG0002236: B0207.7 HCON_00077380-00001
OG0002237: B0212.1b HCON_00119450-00001
OG0002238: B0212.5 HCON_00102570-00001
OG0002239: B0218.3 HCON_00099710-00001
OG0002240: B0222.4 HCON_00141750-00001
OG0002241: B0228.1 HCON_00051230-00001
OG0002242: B0228.7 HCON_00044860-00001
OG0002243: B0238.10 HCON_00133910-00001
OG0002244: B0238.11 HCON_00149520-00001
OG0002245: B0238.9 HCON_00136820-00001
OG0002246: B0240.1 HCON_00137640-00001
OG0002247: B0240.2 HCON_00143270-00001
OG0002248: B0240.3a HCON_00023070-00001
OG0002249: B0240.4 HCON_00138570-00001
OG0002250: B0244.2 HCON_00085310-00001
OG0002251: B0250.1 HCON_00154460-00001
OG0002252: B0250.2 HCON_00154470-00001
OG0002253: B0250.5 HCON_00077920-00001
