transcriptID	WormBaseID	locus	start	stop	VL_am	VL_lm	VL_nil	VC_lm	VC_nil	VR_am	VR_lm	VR_nil	HCON_ortho	HCON_start	HCON_stop	interval_1_status	interval_2_status
C38C3.4b	WBGene00016513	-	1482042	1484124	-	-	Y	-	-	-	-	-	HCON_00135820-00001	6249179	6254497	-	-
F35F10.8	WBGene00006013	srx-122	3296108	3297864	Y	-	-	-	-	-	-	-	-	-	-	-	-
F09F3.11	WBGene00006026	srx-135	13859206	13861402	-	-	-	-	-	-	-	Y	-	-	-	-	-
F09F3.12	WBGene00006027	srx-136	13857432	13859021	-	-	-	-	-	-	-	Y	-	-	-	-	-
F35F10.2	WBGene00018053	srbc-3	3308469	3309689	Y	-	-	-	-	-	-	-	-	-	-	-	-
F35F10.5	WBGene00018055	-	3284929	3285902	Y	-	-	-	-	-	-	-	-	-	-	-	-
F35F10.7	WBGene00018057	-	3286340	3287460	Y	-	-	-	-	-	-	-	-	-	-	-	-
F35F10.6	WBGene00018056	-	3287968	3289385	Y	-	-	-	-	-	-	-	-	-	-	-	-
D1086.9	WBGene00008396	-	14104270	14106483	-	-	-	-	-	-	-	Y	-	-	-	-	-
T06E6.8	WBGene00005470	srh-264	15414147	15415349	-	-	-	-	-	-	-	Y	-	-	-	-	-
F08F3.10	WBGene00017266	-	5413320	5415073	-	-	-	-	Y	-	-	-	HCON_00160120-00001	43651368	43657505	-	-
T06E6.4	WBGene00005519	sri-7	15400327	15401820	-	-	-	-	-	-	-	Y	-	-	-	-	-
C55A1.1	WBGene00008321	-	15621818	15623077	-	-	-	-	-	-	-	Y	-	-	-	-	-
T16A9.5	WBGene00011795	-	14213552	14215206	-	-	-	-	-	-	-	Y	-	-	-	-	-
D1086.6	WBGene00008393	-	14074482	14081766	-	-	-	-	-	-	-	Y	-	-	-	-	-
F09C6.9	WBGene00003706	nhr-116	16912234	16915352	-	-	-	-	-	-	-	Y	-	-	-	-	-
F08E10.7	WBGene00008575	scl-24	17486428	17487241	-	-	-	-	-	-	-	Y	-	-	-	-	-
D1086.7	WBGene00008394	-	14084270	14085811	-	-	-	-	-	-	-	Y	-	-	-	-	-
F08E10.2	WBGene00008574	srbc-61	17476790	17478083	-	-	-	-	-	-	-	Y	-	-	-	-	-
